loan_id,current_balance,interest_rate,payment_status,days_past_due,last_payment_date,document_status,servicer_name,last_updated_at
L-100000,16880.11,5.80,delinquent_30,45,2026-02-22,complete,Apex Loan Servicing,2026-08-14
L-100001,109709.30,5.29,forbearance,0,2026-01-18,pending,Apex Loan Servicing,2026-08-14
L-100002,389479.47,2.58,delinquent_30,120,2026-07-11,missing,Freedom Mortgage,2026-08-07
L-100003,164882.41,3.61,current,0,2026-06-28,missing,Apex Loan Servicing,2026-08-09
L-100004,351622.60,8.93,delinquent_90+,31,2026-05-27,missing,Apex Loan Servicing,2026-08-07
L-100005,26766.58,5.23,delinquent_60,31,2026-04-28,complete,ServPro,2026-08-09
L-100006,401202.45,4.45,delinquent_60,45,2026-05-23,complete,Apex Loan Servicing,2026-08-21
L-100007,444560.81,10.76,,0,,,,2026-08-08
L-100008,405354.66,11.81,delinquent_30,31,2026-06-13,missing,First National,2026-08-07
L-100009,274410.52,11.11,delinquent_30,120,2026-08-13,verified,Freedom Mortgage,2026-08-09
L-100011,431465.87,7.29,delinquent_30,,,,,2026-08-05
L-100012,48181.97,3.07,current,0,2026-03-21,pending,ServPro,2026-08-20
L-100013,425274.51,14.45,forbearance,0,2026-05-18,complete,First National,2026-08-22
L-100014,370084.40,6.58,delinquent_60,75,2026-03-15,complete,Rocket Servicing,2026-08-17
L-100015,246148.80,3.78,delinquent_60,120,2026-04-05,missing,Freedom Mortgage,2026-08-18
L-100016,443156.19,13.52,forbearance,0,2026-06-16,complete,First National,2026-08-12
L-100017,400041.13,6.19,current,0,2026-04-19,complete,First National,2026-08-24
L-100018,37875.95,11.63,delinquent_30,45,2026-08-18,pending,Rocket Servicing,2026-08-17
L-100019,205990.52,5.04,forbearance,0,2026-04-23,missing,ServPro,2026-08-22
L-100021,213097.54,8.71,current,0,2026-04-08,complete,Rocket Servicing,2026-08-01
L-100022,114304.50,5.14,current,0,2026-01-08,complete,First National,2026-08-11
L-100023,229662.15,10.53,delinquent_30,95,2026-03-24,verified,Freedom Mortgage,2026-08-26
L-100024,49804.75,10.41,delinquent_60,75,2026-07-15,complete,First National,2026-08-02
L-100025,166168.74,12.84,delinquent_30,45,2026-04-18,verified,Freedom Mortgage,2026-08-14
L-100026,411584.27,,,0,,complete,First National,2026-08-21
L-100027,402113.10,14.13,delinquent_30,45,2026-07-16,verified,Freedom Mortgage,2026-08-13
L-100028,83202.63,2.53,delinquent_90+,62,2026-08-10,verified,Apex Loan Servicing,2026-08-22
L-100029,78528.49,6.06,current,0,2026-01-24,missing,First National,2026-08-02
L-100031,243853.93,12.73,delinquent_30,31,2026-02-28,pending,First National,2026-08-20
L-100032,204131.83,7.35,forbearance,0,2026-04-19,complete,Apex Loan Servicing,2026-08-03
L-100033,253321.79,13.72,delinquent_30,120,2026-06-08,missing,ServPro,2026-08-05
L-100034,147498.61,6.29,current,0,2026-01-15,complete,First National,2026-08-18
L-100035,180525.37,,,,2026-03-15,missing,Apex Loan Servicing,2026-08-26
L-100036,8715.98,12.31,delinquent_60,120,2026-02-05,missing,First National,2026-08-04
L-100037,78837.76,5.88,delinquent_30,120,2026-06-07,missing,Apex Loan Servicing,2026-08-16
L-100038,25941.21,,delinquent_60,45,,missing,Freedom Mortgage,2026-08-24
L-100039,340192.04,9.23,current,0,2026-02-23,pending,Apex Loan Servicing,2026-08-02
L-100041,281692.04,4.28,delinquent_30,31,2026-05-12,complete,Rocket Servicing,2026-08-07
L-100042,321793.37,6.74,forbearance,0,2026-07-20,pending,Freedom Mortgage,2026-08-06
L-100043,390116.57,13.08,current,0,2026-03-24,missing,ServPro,2026-08-26
L-100044,354152.33,5.48,delinquent_30,120,2026-02-13,complete,ServPro,2026-08-08
L-100045,318515.76,7.28,,,2026-05-28,complete,,2026-08-25
L-100046,465940.29,,delinquent_30,,,,Apex Loan Servicing,2026-08-09
L-100047,341673.01,6.65,delinquent_60,75,2026-02-13,pending,Rocket Servicing,2026-08-02
L-100048,320109.05,8.96,delinquent_30,62,2026-07-03,missing,Apex Loan Servicing,2026-08-11
L-100049,336174.00,9.15,delinquent_30,,,,ServPro,2026-08-22
L-100051,326726.02,13.33,forbearance,0,2026-05-13,complete,Rocket Servicing,2026-08-10
L-100052,106508.17,8.18,,,,,Freedom Mortgage,2026-08-22
L-100053,99586.72,10.10,delinquent_60,31,2026-04-22,missing,Freedom Mortgage,2026-08-26
L-100054,194835.11,8.20,current,0,2026-08-14,pending,ServPro,2026-08-16
L-100055,460033.87,,forbearance,0,,,,2026-08-15
L-100056,392128.09,12.68,delinquent_90+,45,2026-08-22,missing,ServPro,2026-08-20
L-100057,207701.86,13.38,delinquent_90+,45,2026-08-15,missing,Freedom Mortgage,2026-08-27
L-100058,368761.50,8.76,delinquent_30,62,2026-08-03,missing,Freedom Mortgage,2026-08-09
L-100059,429187.75,3.47,delinquent_30,45,2026-07-23,pending,Freedom Mortgage,2026-08-03
L-100061,162168.66,8.09,current,0,2026-04-27,verified,ServPro,2026-08-25
L-100062,335373.42,12.78,forbearance,0,2026-07-16,complete,Rocket Servicing,2026-08-10
L-100063,410387.78,13.94,delinquent_90+,95,2026-04-16,pending,Rocket Servicing,2026-08-14
L-100064,189707.17,10.53,delinquent_90+,120,2026-03-27,verified,Freedom Mortgage,2026-08-20
L-100065,435791.21,9.60,current,0,2026-02-21,verified,Freedom Mortgage,2026-08-15
L-100066,165312.76,13.06,,,,missing,ServPro,2026-08-09
L-100067,228395.75,11.49,current,0,2026-06-08,complete,First National,2026-08-25
L-100068,59334.99,12.57,forbearance,0,2026-03-08,pending,ServPro,2026-08-22
L-100069,225891.14,5.57,delinquent_60,45,2026-02-25,pending,Rocket Servicing,2026-08-04
L-100071,446221.40,9.41,delinquent_90+,75,2026-04-03,pending,First National,2026-08-23
L-100072,408889.29,9.70,current,0,2026-01-12,verified,Rocket Servicing,2026-08-03
L-100073,167084.81,12.69,delinquent_90+,31,2026-07-12,verified,Freedom Mortgage,2026-08-14
L-100074,352237.45,5.72,,,,pending,,2026-08-27
L-100075,137490.92,7.91,delinquent_90+,95,2026-07-11,complete,ServPro,2026-08-11
L-100076,423151.99,10.91,delinquent_60,,2026-01-17,pending,,2026-08-03
L-100077,311803.88,8.39,,0,,,First National,2026-08-03
L-100078,180284.71,9.14,,,2026-06-14,missing,,2026-08-12
L-100079,133685.30,5.52,current,0,2026-04-11,complete,Apex Loan Servicing,2026-08-25
L-100081,95981.96,11.36,delinquent_60,120,2026-05-04,pending,Rocket Servicing,2026-08-08
L-100082,148577.10,11.00,delinquent_30,62,2026-01-02,missing,Freedom Mortgage,2026-08-21
L-100083,238167.38,12.97,forbearance,0,2026-05-16,verified,ServPro,2026-08-11
L-100084,36038.13,8.40,forbearance,,,complete,Freedom Mortgage,2026-08-05
L-100085,455834.68,3.52,delinquent_30,31,2026-07-20,pending,Apex Loan Servicing,2026-08-13
