loan_id,borrower_id,loan_type,origination_date,maturity_date,original_principal,current_balance,interest_rate,term_months,borrower_state,loan_purpose,credit_grade,employment_length,income_band,payment_status,days_past_due,servicer_name,last_payment_date,last_updated_at,document_status,source_system
L-10223,B-5223,mortgage,2022-03-15,2020-01-01,350000.00,342000.00,6.75,360,NY,purchase,A,5-10 years,100k-150k,current,0,First National,2026-08-01,2026-08-21,complete,origination
L-10023,B-5023,mortgage,2022-03-15,2052-03-15,350000.00,342000.00,6.75,360,FL,purchase,A,5-10 years,100k-150k,current,0,First National,2026-08-01,2026-08-21,complete,origination
L-10224,B-5224,mortgage,2022-03-15,2020-01-01,350000.00,342000.00,6.75,360,FL,purchase,A,5-10 years,100k-150k,current,0,First National,2026-08-01,2026-08-21,complete,origination
L-10044,B-5044,mortgage,2022-03-15,2052-03-15,350000.00,342000.00,6.75,360,IL,purchase,A,5-10 years,100k-150k,current,0,First National,2026-08-01,2026-08-21,complete,origination
L-10024,B-5024,mortgage,2022-03-15,2052-03-15,350000.00,342000.00,6.75,360,IL,purchase,A,5-10 years,100k-150k,current,0,First National,2026-08-01,2026-08-21,complete,origination
L-10011,B-5011,mortgage,2022-03-15,2052-03-15,350000.00,342000.00,6.75,360,CA,purchase,A,5-10 years,100k-150k,current,0,First National,2026-08-01,2026-08-21,complete,origination
L-10018,B-5018,mortgage,2022-03-15,2052-03-15,350000.00,342000.00,6.75,360,CA,purchase,A,5-10 years,100k-150k,current,0,First National,2026-08-01,2026-08-21,complete,origination
L-10293,B-5293,mortgage,2022-03-15,2052-03-15,350000.00,342000.00,6.75,360,XX,purchase,A,5-10 years,100k-150k,current,0,First National,2026-08-01,2026-08-21,complete,origination
L-DUPCOMBO-2,B-9999,mortgage,2021-06-01,2052-03-15,280000.00,342000.00,6.75,360,CA,purchase,A,5-10 years,100k-150k,current,0,First National,2026-08-01,2026-08-21,complete,origination
L-10019,B-5019,mortgage,2022-03-15,2052-03-15,350000.00,342000.00,6.75,360,PA,purchase,A,5-10 years,100k-150k,current,0,First National,2026-08-01,2026-08-21,complete,origination
L-10234,B-5234,mortgage,2022-03-15,2052-03-15,-50000.00,342000.00,6.75,360,AZ,purchase,A,5-10 years,100k-150k,current,0,First National,2026-08-01,2026-08-21,complete,origination
L-10001,B-5203,mortgage,2022-03-15,2052-03-15,350000.00,342000.00,6.75,360,FL,purchase,A,5-10 years,100k-150k,current,0,First National,2026-08-01,2026-08-21,complete,origination
L-10242,B-5242,mortgage,2022-03-15,2052-03-15,300000.00,400000.00,6.75,360,OH,purchase,A,5-10 years,100k-150k,current,0,First National,2026-08-01,2026-08-21,complete,origination
L-10040,B-5040,mortgage,2022-03-15,2052-03-15,350000.00,342000.00,6.75,360,WA,purchase,A,5-10 years,100k-150k,current,0,First National,2026-08-01,2026-08-21,complete,origination
L-10251,B-5251,mortgage,2022-03-15,2052-03-15,350000.00,342000.00,-2.00,360,PA,purchase,A,5-10 years,100k-150k,current,0,First National,2026-08-01,2026-08-21,complete,origination
L-10001,B-5001,mortgage,2022-03-15,2052-03-15,350000.00,342000.00,6.75,360,CA,purchase,A,5-10 years,100k-150k,current,0,First National,2026-08-01,2026-08-21,complete,origination
L-10053,B-5053,mortgage,2022-03-15,2052-03-15,350000.00,342000.00,6.75,360,MI,purchase,A,5-10 years,100k-150k,current,0,First National,2026-08-01,2026-08-21,complete,origination
L-DUPCOMBO-0,B-9999,mortgage,2021-06-01,2052-03-15,280000.00,342000.00,6.75,360,CA,purchase,A,5-10 years,100k-150k,current,0,First National,2026-08-01,2026-08-21,complete,origination
L-10059,B-5059,mortgage,2022-03-15,2052-03-15,350000.00,342000.00,6.75,360,NY,purchase,A,5-10 years,100k-150k,current,0,First National,2026-08-01,2026-08-21,complete,origination
L-10253,B-5253,mortgage,2022-03-15,2052-03-15,350000.00,342000.00,-2.00,360,MI,purchase,A,5-10 years,100k-150k,current,0,First National,2026-08-01,2026-08-21,complete,origination
L-10001,B-5204,mortgage,2022-03-15,2052-03-15,350000.00,342000.00,6.75,360,WA,purchase,A,5-10 years,100k-150k,current,0,First National,2026-08-01,2026-08-21,complete,origination
L-10038,B-5038,mortgage,2022-03-15,2052-03-15,350000.00,342000.00,6.75,360,NY,purchase,A,5-10 years,100k-150k,current,0,First National,2026-08-01,2026-08-21,complete,origination
L-10052,B-5052,mortgage,2022-03-15,2052-03-15,350000.00,342000.00,6.75,360,WA,purchase,A,5-10 years,100k-150k,current,0,First National,2026-08-01,2026-08-21,complete,origination
L-10005,B-5005,mortgage,2022-03-15,2052-03-15,350000.00,342000.00,6.75,360,TX,purchase,A,5-10 years,100k-150k,current,0,First National,2026-08-01,2026-08-21,complete,origination
L-10221,B-5221,mortgage,2022-03-15,2020-01-01,350000.00,342000.00,6.75,360,AZ,purchase,A,5-10 years,100k-150k,current,0,First National,2026-08-01,2026-08-21,complete,origination
L-10250,B-5250,mortgage,2022-03-15,2052-03-15,350000.00,342000.00,55.00,360,PA,purchase,A,5-10 years,100k-150k,current,0,First National,2026-08-01,2026-08-21,complete,origination
L-10271,B-5271,mortgage,2022-03-15,2052-03-15,350000.00,342000.00,6.75,360,IL,purchase,A,5-10 years,100k-150k,current,0,First National,2026-08-01,2026-08-21,,origination
L-10001,B-5200,mortgage,2022-03-15,2052-03-15,350000.00,342000.00,6.75,360,AZ,purchase,A,5-10 years,100k-150k,current,0,First National,2026-08-01,2026-08-21,complete,origination
L-10037,B-5037,mortgage,2022-03-15,2052-03-15,350000.00,342000.00,6.75,360,AZ,purchase,A,5-10 years,100k-150k,current,0,First National,2026-08-01,2026-08-21,complete,origination
L-10244,B-5244,mortgage,2022-03-15,2052-03-15,300000.00,400000.00,6.75,360,FL,purchase,A,5-10 years,100k-150k,current,0,First National,2026-08-01,2026-08-21,complete,origination
L-10001,B-5201,mortgage,2022-03-15,2052-03-15,350000.00,342000.00,6.75,360,OH,purchase,A,5-10 years,100k-150k,current,0,First National,2026-08-01,2026-08-21,complete,origination
L-10035,B-5035,mortgage,2022-03-15,2052-03-15,350000.00,342000.00,6.75,360,NY,purchase,A,5-10 years,100k-150k,current,0,First National,2026-08-01,2026-08-21,complete,origination
L-10061,B-5061,mortgage,2022-03-15,2052-03-15,350000.00,342000.00,6.75,360,NY,purchase,A,5-10 years,100k-150k,current,0,First National,2026-08-01,2026-08-21,complete,origination
L-10233,B-5233,mortgage,2022-03-15,2052-03-15,-50000.00,342000.00,6.75,360,IL,purchase,A,5-10 years,100k-150k,current,0,First National,2026-08-01,2026-08-21,complete,origination
L-10049,B-5049,mortgage,2022-03-15,2052-03-15,350000.00,342000.00,6.75,360,PA,purchase,A,5-10 years,100k-150k,current,0,First National,2026-08-01,2026-08-21,complete,origination
L-10001,B-5202,mortgage,2022-03-15,2052-03-15,350000.00,342000.00,6.75,360,PA,purchase,A,5-10 years,100k-150k,current,0,First National,2026-08-01,2026-08-21,complete,origination
L-10003,B-5003,mortgage,2022-03-15,2052-03-15,350000.00,342000.00,6.75,360,FL,purchase,A,5-10 years,100k-150k,current,0,First National,2026-08-01,2026-08-21,complete,origination
L-10065,B-5065,mortgage,2022-03-15,2052-03-15,350000.00,342000.00,6.75,360,WA,purchase,A,5-10 years,100k-150k,current,0,First National,2026-08-01,2026-08-21,complete,origination
L-REPEAT-1,B-REPEAT,mortgage,2022-02-15,2052-03-15,350000.00,342000.00,6.75,360,WA,purchase,A,5-10 years,100k-150k,current,0,First National,2026-08-01,2026-08-21,complete,origination
L-10274,B-5274,mortgage,2022-03-15,2052-03-15,350000.00,342000.00,6.75,360,NY,purchase,A,5-10 years,100k-150k,current,0,First National,2026-08-01,2026-08-21,,origination
L-10022,B-5022,mortgage,2022-03-15,2052-03-15,350000.00,342000.00,6.75,360,AZ,purchase,A,5-10 years,100k-150k,current,0,First National,2026-08-01,2026-08-21,complete,origination
L-10220,B-5220,mortgage,2022-03-15,2020-01-01,350000.00,342000.00,6.75,360,WA,purchase,A,5-10 years,100k-150k,current,0,First National,2026-08-01,2026-08-21,complete,origination
,,mortgage,2022-03-15,2052-03-15,350000.00,342000.00,6.75,360,TX,purchase,A,5-10 years,100k-150k,current,0,First National,2026-08-01,2026-08-21,complete,origination
L-10006,B-5006,mortgage,2022-03-15,2052-03-15,350000.00,342000.00,6.75,360,NY,purchase,A,5-10 years,100k-150k,current,0,First National,2026-08-01,2026-08-21,complete,origination
L-10012,B-5012,mortgage,2022-03-15,2052-03-15,350000.00,342000.00,6.75,360,CA,purchase,A,5-10 years,100k-150k,current,0,First National,2026-08-01,2026-08-21,complete,origination
L-10026,B-5026,mortgage,2022-03-15,2052-03-15,350000.00,342000.00,6.75,360,OH,purchase,A,5-10 years,100k-150k,current,0,First National,2026-08-01,2026-08-21,complete,origination
L-10048,B-5048,mortgage,2022-03-15,2052-03-15,350000.00,342000.00,6.75,360,NY,purchase,A,5-10 years,100k-150k,current,0,First National,2026-08-01,2026-08-21,complete,origination
L-10058,B-5058,mortgage,2022-03-15,2052-03-15,350000.00,342000.00,6.75,360,OH,purchase,A,5-10 years,100k-150k,current,0,First National,2026-08-01,2026-08-21,complete,origination
L-10254,B-5254,mortgage,2022-03-15,2052-03-15,350000.00,342000.00,55.00,360,AZ,purchase,A,5-10 years,100k-150k,current,0,First National,2026-08-01,2026-08-21,complete,origination
L-REPEAT-2,B-REPEAT,mortgage,2022-03-15,2052-03-15,350000.00,342000.00,6.75,360,NY,purchase,A,5-10 years,100k-150k,current,0,First National,2026-08-01,2026-08-21,complete,origination
L-10036,B-5036,mortgage,2022-03-15,2052-03-15,350000.00,342000.00,6.75,360,NY,purchase,A,5-10 years,100k-150k,current,0,First National,2026-08-01,2026-08-21,complete,origination
L-10270,B-5270,mortgage,2022-03-15,2052-03-15,350000.00,342000.00,6.75,360,PA,purchase,A,5-10 years,100k-150k,current,0,First National,2026-08-01,2026-08-21,,origination
L-10064,B-5064,mortgage,2022-03-15,2052-03-15,350000.00,342000.00,6.75,360,IL,purchase,A,5-10 years,100k-150k,current,0,First National,2026-08-01,2026-08-21,complete,origination
L-10034,B-5034,mortgage,2022-03-15,2052-03-15,350000.00,342000.00,6.75,360,WA,purchase,A,5-10 years,100k-150k,current,0,First National,2026-08-01,2026-08-21,complete,origination
L-10013,B-5013,mortgage,2022-03-15,2052-03-15,350000.00,342000.00,6.75,360,NY,purchase,A,5-10 years,100k-150k,current,0,First National,2026-08-01,2026-08-21,complete,origination
L-REPEAT-5,B-REPEAT,mortgage,2022-06-15,2052-03-15,350000.00,342000.00,6.75,360,TX,purchase,A,5-10 years,100k-150k,current,0,First National,2026-08-01,2026-08-21,complete,origination
L-10042,B-5042,mortgage,2022-03-15,2052-03-15,350000.00,342000.00,6.75,360,OH,purchase,A,5-10 years,100k-150k,current,0,First National,2026-08-01,2026-08-21,complete,origination
L-10017,B-5017,mortgage,2022-03-15,2052-03-15,350000.00,342000.00,6.75,360,MI,purchase,A,5-10 years,100k-150k,current,0,First National,2026-08-01,2026-08-21,complete,origination
L-10222,B-5222,mortgage,2022-03-15,2020-01-01,350000.00,342000.00,6.75,360,OH,purchase,A,5-10 years,100k-150k,current,0,First National,2026-08-01,2026-08-21,complete,origination
L-10032,B-5032,mortgage,2022-03-15,2052-03-15,350000.00,342000.00,6.75,360,TX,purchase,A,5-10 years,100k-150k,current,0,First National,2026-08-01,2026-08-21,complete,origination
L-10063,B-5063,mortgage,2022-03-15,2052-03-15,350000.00,342000.00,6.75,360,OH,purchase,A,5-10 years,100k-150k,current,0,First National,2026-08-01,2026-08-21,complete,origination
L-10230,B-5230,mortgage,2022-03-15,2052-03-15,-50000.00,342000.00,6.75,360,MI,purchase,A,5-10 years,100k-150k,current,0,First National,2026-08-01,2026-08-21,complete,origination
L-10055,B-5055,mortgage,2022-03-15,2052-03-15,350000.00,342000.00,6.75,360,NY,purchase,A,5-10 years,100k-150k,current,0,First National,2026-08-01,2026-08-21,complete,origination
L-10004,B-5004,mortgage,2022-03-15,2052-03-15,350000.00,342000.00,6.75,360,FL,purchase,A,5-10 years,100k-150k,current,0,First National,2026-08-01,2026-08-21,complete,origination
,,mortgage,2022-03-15,2052-03-15,350000.00,342000.00,6.75,360,PA,purchase,A,5-10 years,100k-150k,current,0,First National,2026-08-01,2026-08-21,complete,origination
,,mortgage,2022-03-15,2052-03-15,350000.00,342000.00,6.75,360,NY,purchase,A,5-10 years,100k-150k,current,0,First National,2026-08-01,2026-08-21,complete,origination
L-10264,B-5264,mortgage,2022-03-15,2052-03-15,350000.00,342000.00,6.75,360,TX,purchase,A,5-10 years,100k-150k,current,15,First National,2026-08-01,2026-08-21,complete,origination
L-10009,B-5009,mortgage,2022-03-15,2052-03-15,350000.00,342000.00,6.75,360,MI,purchase,A,5-10 years,100k-150k,current,0,First National,2026-08-01,2026-08-21,complete,origination
L-10284,B-5284,mortgage,2022-03-15,2052-03-15,350000.00,342000.00,6.75,360,NY,purchase,A,5-10 years,100k-150k,current,0,First National,2026-08-01,2026-04-28,complete,origination
L-10110,B-5110,mortgage,not-a-date,2052-03-15,350000.00,342000.00,6.75,360,FL,purchase,A,5-10 years,100k-150k,current,0,First National,2026-08-01,2026-08-21,complete,origination
L-10029,B-5029,mortgage,2022-03-15,2052-03-15,350000.00,342000.00,6.75,360,AZ,purchase,A,5-10 years,100k-150k,current,0,First National,2026-08-01,2026-08-21,complete,origination
L-10231,B-5231,mortgage,2022-03-15,2052-03-15,-50000.00,342000.00,6.75,360,WA,purchase,A,5-10 years,100k-150k,current,0,First National,2026-08-01,2026-08-21,complete,origination
L-10272,B-5272,mortgage,2022-03-15,2052-03-15,350000.00,342000.00,6.75,360,NY,purchase,A,5-10 years,100k-150k,current,0,First National,2026-08-01,2026-08-21,,origination
L-10043,B-5043,mortgage,2022-03-15,2052-03-15,350000.00,342000.00,6.75,360,CA,purchase,A,5-10 years,100k-150k,current,0,First National,2026-08-01,2026-08-21,complete,origination
L-10290,B-5290,mortgage,2022-03-15,2052-03-15,350000.00,342000.00,6.75,360,XX,purchase,A,5-10 years,100k-150k,current,0,First National,2026-08-01,2026-08-21,complete,origination
L-10028,B-5028,mortgage,2022-03-15,2052-03-15,350000.00,342000.00,6.75,360,TX,purchase,A,5-10 years,100k-150k,current,0,First National,2026-08-01,2026-08-21,complete,origination
L-10031,B-5031,mortgage,2022-03-15,2052-03-15,350000.00,342000.00,6.75,360,OH,purchase,A,5-10 years,100k-150k,current,0,First National,2026-08-01,2026-08-21,complete,origination
L-10015,B-5015,mortgage,2022-03-15,2052-03-15,350000.00,342000.00,6.75,360,FL,purchase,A,5-10 years,100k-150k,current,0,First National,2026-08-01,2026-08-21,complete,origination
L-10057,B-5057,mortgage,2022-03-15,2052-03-15,350000.00,342000.00,6.75,360,FL,purchase,A,5-10 years,100k-150k,current,0,First National,2026-08-01,2026-08-21,complete,origination
L-10066,B-5066,mortgage,2022-03-15,2052-03-15,350000.00,342000.00,6.75,360,TX,purchase,A,5-10 years,100k-150k,current,0,First National,2026-08-01,2026-08-21,complete,origination
L-10056,B-5056,mortgage,2022-03-15,2052-03-15,350000.00,342000.00,6.75,360,CA,purchase,A,5-10 years,100k-150k,current,0,First National,2026-08-01,2026-08-21,complete,origination
L-10300,B-5300,mortgage,2022-03-15,2052-03-15,350000.00,50000.00,6.75,360,OH,purchase,A,5-10 years,100k-150k,closed,0,First National,2026-08-01,2026-08-21,complete,origination
L-10051,B-5051,mortgage,2022-03-15,2052-03-15,350000.00,342000.00,6.75,360,MI,purchase,A,5-10 years,100k-150k,current,0,First National,2026-08-01,2026-08-21,complete,origination
L-10262,B-5262,mortgage,2022-03-15,2052-03-15,350000.00,342000.00,6.75,360,WA,purchase,A,5-10 years,100k-150k,current,15,First National,2026-08-01,2026-08-21,complete,origination
