loan_id,borrower_id,loan_type,origination_date,maturity_date,original_principal,current_balance,interest_rate,term_months,borrower_state,loan_purpose,credit_grade,employment_length,income_band,payment_status,days_past_due,servicer_name,last_payment_date,last_updated_at,document_status,source_system
L-100000,B-500000,mortgage,2023-04-11,2043-04-11,167771.50,156144.78,6.07,240,OK,refinance,C,1-3 years,30k-50k,current,0,First National,2026-06-03,2026-08-21,complete,portal_upload
L-100001,B-500001,auto,2023-01-16,2033-01-16,128605.19,108030.97,5.81,120,CA,home_improvement,E,5-10 years,75k-100k,current,0,Freedom Mortgage,2026-07-07,2026-08-01,verified,servicing_core
L-100002,B-500002,mortgage,2020-08-11,2035-08-11,81684.25,46799.07,4.12,180,UT,home_improvement,C,10+ years,50k-75k,current,0,Rocket Servicing,2026-06-06,2026-08-02,complete,legacy_crm
L-100003,B-500003,commercial,2022-05-13,2025-05-13,498212.46,145704.95,7.71,36,MD,purchase,B,3-5 years,75k-100k,current,0,LoanCare,2026-06-01,2026-08-04,complete,servicing_core
L-100004,B-500004,student,2022-11-14,2027-11-14,314494.13,279001.48,5.82,60,TN,refinance,E,1-3 years,50k-75k,late,15,Chase Home Lending,2026-08-25,2026-08-19,complete,legacy_crm
L-100005,B-500005,personal,2021-06-01,2024-06-01,470624.32,216772.45,5.71,36,MI,debt_consolidation,B,10+ years,<30k,delinquent,30,Mr. Cooper,2026-07-09,2026-08-11,complete,legacy_crm
L-100006,B-500006,mortgage,2018-10-11,2038-10-11,95752.28,60142.25,5.10,240,OH,debt_consolidation,B,< 1 year,75k-100k,current,0,Mr. Cooper,2026-07-09,2026-08-16,verified,origination
L-100007,B-500007,mortgage,2020-03-27,2035-03-27,485446.75,301679.55,6.10,180,VA,home_improvement,C,1-3 years,<30k,current,0,Chase Home Lending,2026-07-09,2026-08-10,complete,origination
L-100008,B-500008,mortgage,2019-11-26,2039-11-26,628930.01,494059.62,4.53,240,UT,purchase,B,5-10 years,150k+,current,0,Wells Fargo Servicing,2026-06-25,2026-08-21,complete,portal_upload
L-100009,B-500009,commercial,2020-01-16,2023-01-16,154831.51,85810.71,4.11,36,SC,home_improvement,C,3-5 years,50k-75k,current,0,LoanCare,2026-06-07,2026-08-09,verified,servicing_core
,,mortgage,2023-02-17,2038-02-17,413753.59,176002.49,5.39,180,MA,cash_out_refinance,A,5-10 years,<30k,current,0,Rocket Servicing,2026-08-14,2026-08-17,complete,origination
L-100011,B-500011,mortgage,2024-07-02,2054-07-02,437637.82,199142.50,5.99,360,OK,home_improvement,C,5-10 years,30k-50k,current,0,First National,2026-07-24,2026-08-22,complete,servicing_core
L-100012,B-500012,personal,2020-11-27,2030-11-27,320832.89,171454.98,8.13,120,VA,purchase,C,3-5 years,75k-100k,current,0,Mr. Cooper,2026-06-14,2026-08-14,complete,portal_upload
L-100013,B-500013,commercial,2018-06-28,2023-06-28,631379.35,0.00,5.07,60,NY,cash_out_refinance,E,10+ years,100k-150k,closed,0,Rocket Servicing,2026-08-11,2026-08-08,complete,servicing_core
L-100014,B-500014,mortgage,2019-06-21,2034-06-21,483221.01,166198.85,5.61,180,LA,refinance,B,5-10 years,30k-50k,current,0,Rocket Servicing,2026-07-14,2026-08-21,complete,legacy_crm
L-100015,B-500015,mortgage,2020-02-15,2040-02-15,283202.58,131529.81,8.38,240,KY,purchase,C,5-10 years,50k-75k,current,0,Rocket Servicing,2026-06-08,2026-08-18,complete,servicing_core
L-100016,B-500016,mortgage,2022-03-02,2037-03-02,470601.87,356531.99,3.78,180,UT,home_improvement,B,1-3 years,75k-100k,current,0,Rocket Servicing,2026-07-15,2026-08-20,complete,servicing_core
L-100017,B-500017,auto,2019-09-10,2026-09-10,342110.63,189672.64,5.11,84,VA,cash_out_refinance,B,3-5 years,100k-150k,current,0,Mr. Cooper,2026-08-25,2026-08-11,complete,legacy_crm
L-100018,B-500018,auto,2024-07-06,2027-07-06,496184.19,218437.00,5.71,36,SC,debt_consolidation,D,1-3 years,50k-75k,current,0,Wells Fargo Servicing,2026-06-09,2026-08-24,complete,origination
L-100019,B-500019,personal,2019-03-23,2026-03-23,263905.49,218915.80,8.41,84,TN,purchase,D,10+ years,50k-75k,current,0,Rocket Servicing,2026-07-10,2026-08-07,verified,servicing_core
,,personal,2022-10-08,2032-10-08,422124.10,338971.95,3.40,120,WA,debt_consolidation,B,5-10 years,50k-75k,current,0,Rocket Servicing,2026-07-25,2026-08-15,verified,origination
L-100021,B-500021,mortgage,2023-04-01,2053-04-01,58789.79,19013.60,4.72,360,AL,debt_consolidation,A,1-3 years,150k+,current,0,Rocket Servicing,2026-08-12,2026-08-12,verified,origination
L-100022,B-500022,auto,2021-02-25,2028-02-25,594550.08,448474.95,7.61,84,UT,cash_out_refinance,B,10+ years,75k-100k,current,0,Rocket Servicing,2026-06-07,2026-08-02,verified,legacy_crm
L-100023,B-500023,mortgage,2019-12-03,2049-12-03,620687.07,538003.56,7.66,360,PA,purchase,A,10+ years,100k-150k,current,0,Rocket Servicing,2026-08-08,2026-08-10,complete,portal_upload
L-100024,B-500024,mortgage,2023-04-07,2043-04-07,353912.86,0.00,4.92,240,AL,debt_consolidation,C,1-3 years,75k-100k,closed,0,LoanCare,2026-07-07,2026-08-16,complete,legacy_crm
L-100025,B-500025,mortgage,2020-12-08,2050-12-08,475894.00,71696.78,7.67,360,NC,refinance,D,1-3 years,150k+,current,0,Freedom Mortgage,2026-08-10,2026-08-03,verified,portal_upload
L-100026,B-500026,mortgage,2022-01-19,2052-01-19,542213.81,397574.77,4.45,360,MA,home_improvement,D,1-3 years,<30k,current,0,Wells Fargo Servicing,2026-06-19,2026-08-12,verified,servicing_core
L-100027,B-500027,mortgage,2023-09-28,2043-09-28,184751.68,119222.13,7.90,240,CO,purchase,B,< 1 year,150k+,current,0,Chase Home Lending,2026-07-10,2026-08-08,complete,legacy_crm
L-100028,B-500028,student,2020-02-20,2023-02-20,141465.12,31456.72,4.75,36,VA,purchase,B,3-5 years,75k-100k,current,0,Rocket Servicing,2026-08-03,2026-08-02,verified,portal_upload
L-100029,B-500029,student,2021-08-12,2031-08-12,490323.26,147497.00,5.74,120,WI,debt_consolidation,A,10+ years,100k-150k,current,0,LoanCare,2026-07-08,2026-08-11,complete,legacy_crm
,,mortgage,2022-10-01,2037-10-01,206991.43,129020.68,7.31,180,OR,home_improvement,E,5-10 years,30k-50k,current,0,Rocket Servicing,2026-08-22,2026-08-25,complete,origination
L-100031,B-500031,personal,2024-04-18,2029-04-18,558022.66,334332.96,7.88,60,NJ,refinance,D,3-5 years,<30k,current,0,LoanCare,2026-07-03,2026-08-24,complete,portal_upload
L-100032,B-500032,personal,2018-03-21,2021-03-21,84724.36,59278.37,7.10,36,MO,cash_out_refinance,A,10+ years,75k-100k,current,0,Wells Fargo Servicing,2026-07-21,2026-08-11,verified,servicing_core
L-100033,B-500033,commercial,2024-01-06,2029-01-06,365967.78,284486.28,8.25,60,CA,refinance,A,< 1 year,150k+,current,0,Mr. Cooper,2026-06-28,2026-08-16,complete,portal_upload
L-100034,B-500034,mortgage,2019-11-18,2034-11-18,211268.56,99487.41,7.72,180,NJ,purchase,B,< 1 year,<30k,current,0,Wells Fargo Servicing,2026-08-28,2026-08-04,complete,origination
L-100035,B-500035,student,2023-07-10,2026-07-10,107323.16,77683.10,5.06,36,WA,home_improvement,C,< 1 year,<30k,current,0,Pennymac,2026-08-14,2026-08-12,complete,servicing_core
L-100036,B-500036,auto,2020-04-04,2025-04-04,318607.75,86248.37,7.86,60,TN,purchase,B,10+ years,50k-75k,current,0,LoanCare,2026-07-13,2026-08-20,complete,legacy_crm
L-100037,B-500037,auto,2019-09-01,2024-09-01,517932.16,309611.10,5.25,60,MN,debt_consolidation,A,< 1 year,50k-75k,current,0,Pennymac,2026-06-16,2026-08-02,complete,legacy_crm
L-100038,B-500038,mortgage,2021-06-14,2036-06-14,542052.74,175583.01,8.16,180,LA,cash_out_refinance,E,5-10 years,50k-75k,current,0,Mr. Cooper,2026-06-11,2026-08-13,complete,legacy_crm
L-100039,B-500039,mortgage,2022-12-04,2037-12-04,538164.97,216089.98,5.20,180,KY,home_improvement,B,< 1 year,30k-50k,delinquent,90,LoanCare,2026-06-20,2026-08-16,complete,origination
,,personal,2022-05-03,2029-05-03,96890.27,51321.02,6.78,84,CT,cash_out_refinance,B,10+ years,<30k,current,0,LoanCare,2026-07-28,2026-08-05,complete,origination
L-100041,B-500041,student,2021-01-10,2031-01-10,427812.15,114813.54,8.11,120,VA,purchase,D,< 1 year,150k+,current,0,Rocket Servicing,2026-08-19,2026-08-23,verified,origination
L-100042,B-500042,mortgage,2024-06-28,2054-06-28,294919.75,188241.55,4.16,360,NY,purchase,E,10+ years,150k+,current,0,Rocket Servicing,2026-06-11,2026-08-01,complete,legacy_crm
L-100043,B-500043,mortgage,2020-11-05,2040-11-05,57941.43,29676.60,3.28,240,PA,purchase,C,< 1 year,50k-75k,current,0,Rocket Servicing,2026-07-07,2026-08-07,complete,origination
